"","Variety","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","L024","L025","L034","L035","L036","L037","L075","L087","L019","L029","L093","L030","L176","L023","L027","L184","L012","L155"
"N0001",-0.942328518161817,-0.0571777383728974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.77049302037971,4.81216828698345,0.188411598624379,-1.97132971524687,-2.6835296788852,-1.08097556109289,2.36608936175516,3.67587800085574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0102",6.56601005041279,0.445821429531449,0.341326471628811,NA,-0.388741615475426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.71936292925839,0.908005660660334,-4.88850052843023,6.09981318416408,-0.704051779891589,-3.43884873927085,-1.77758136979437,-2.31607628935563,10.9348993494666,2.00502276184611,6.12823831450427,NA,NA,NA,NA,NA,NA,NA
"N0103",19.5640753394218,0.541201545910512,0.645889324953227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49982876529195,5.1383651020055,1.24222865956247,-0.694877032224503,-3.76720181683702,1.39775483004026,-2.77062137322183,-2.48177056494829,4.09166237483429,0.520135613070378,3.45324053150841,NA,NA,NA,NA,NA,NA,NA
"N0104",34.8107664628875,2.11221549492776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3578838753465,14.960740419882,-4.62587974700417,-4.06510042841596,1.51390357050822,2.26629499065695,0.442351188114775,3.2824326829738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0105",0.871072229325512,0.0528541151756568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21421054533108,NA,-0.308316574928361,0.59252782271729,-2.16006261526565,-3.44806166946151,3.22962150443215,1.30879189248711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0106",16.3399847067499,0.99146248104802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19817905955028,5.76911577189147,-1.91522662798451,-0.844349690810138,-0.366321877747458,-3.18461378770177,3.49306938619188,0.892109616131981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0107",9.2091735193937,0.558785714295582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.53171649723669,6.69068449389675,-1.16369044550794,-2.64330160126432,-3.86559918348882,1.13760572487784,6.7950936615992,0.113352942850088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0109",-5.04693647987057,-0.82712152402045,0.520888179631149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03283508910804,2.08553577247522,1.11160588427521,-7.61409022290895,-5.1942604559067,3.74058574645084,-1.70850260015545,-0.410238658354281,3.35115003850015,1.65397177270298,2.53315439615934,NA,NA,NA,NA,NA,NA,NA
"N0110",-2.47743370432878,-0.150323431215419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105081295378861,4.18637604942178,-2.81783619233932,1.48365899588065,-2.4591592188033,-1.53673525912583,-0.980223508265971,1.00969528894947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0111",-7.08274926282956,-0.429760509743076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.622197691834157,3.49922711343777,-2.48478989115104,-1.24388041444795,-3.65640577337346,-1.7137865765237,2.07334342538177,0.662611432022879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
